Name,Raise,Stage,Funds and Investors,Date
SolanaFloor,N/A,M&A,Jito Foundation,Mar 10
Corastone,N/A,Undisclosed,Fidelity+2,Mar 10
Moltbook,N/A,M&A,Meta,Mar 10
Polymarket Analytics,N/A,M&A,PolyGun,Mar 9
Stack BTC,$ 347.00K,Strategic,Blockchain.com+1,Mar 9
Zodl (Zcash Open Development Lab),$ 25.00M,Seed,Coinbase Ventures+10,Mar 9
KAST,$ 80.00M,Series A,QED Investors+4,Mar 9
Utexo,$ 7.50M,Seed,Big Brain Holdings+15,Mar 6
Superpower,--,Pre-Seed,Taisu VenturesPaper Ventures,Mar 5
Axiym,N/A,Strategic,Tether,Mar 5
QFEX,$ 9.50M,Seed,General Catalyst+8,Mar 5
Core Scientific,$ 500.00M,Debt Financing,Morgan Stanley,Mar 5
OKX Token,N/A,Strategic,Intercontinental Exchange,Mar 5
iZUMi FinanceIZI,--,M&A,CIMG Inc.,Mar 4
Cyclops,$ 8.00M,Strategic,Castle Island Ventures+2,Mar 4
Custos,--,Strategic,GoPlus Security,Mar 4
Probable,N/A,M&A,Predict.fun,Mar 4
Interstate,$ 1.50M,Undisclosed,MH Ventures+15,Mar 4
Crossover Markets Group,$ 31.00M,Series B,Tradeweb+6,Mar 4
Field Digital Corp,N/A,M&A,Digital Investment Strategy,Mar 3
ARQ (prev. DolarApp),$ 70.00M,Undisclosed,Sequoia Capital+1,Mar 3
Kutt,N/A,M&A,Bitcoin Depot,Mar 2
Sats Terminal,N/A,Strategic,Gate Ventures,Mar 2
Akave,$ 6.65M,Seed,Big Brain Holdings+7,Mar 2
Ledger,$50M,Unknown,-,Mar 
Howard AI,$3M,Seed,Vantec,Mar 
OmniPact,$50M,Private,-,Mar 
Helios Finance,$1M,Pre-seed,Draper,Mar 
OKX,-,Strategic,ICE,Mar 
MarsCat,$3M,Unknown,Animoca,Mar 
